chassis_serie,close_date,close_datetime,component,creation_datetime,creation_date,severity_cur,customer_type,dealer_city,dealer_id,dealer_country,dealer_name,dealer_state,error_code,failure_mode,first_queued_seconds,region,owner_country,owner_department,description,mileage,mileage_unit,product_id,product,creator_country,creator_department,time_to_close_seconds,assigned_team,sr_area,sr_type,severity,ticket_channel,status_line,status,sub_status,ticket_id,chassis_number,vin_number
S-697,2026-04-02,2026-04-02 16:42:51+00:00,Hydrogen Injector,2026-01-01 10:00:00,2026-01-01,Low,Dealer,Toronto,D-1005,Canada,CanService Dealer,ON,W-2002,Noise,3791,North America,USA,Quality,[TEST-VARIANT-B] There is unusual sound on the Sensors Still open pls :: synthetic drift scenario,467953,miles,P-6995,Hydrogen Drive Unit,China,Operations,914400.0,Warranty Taskforce,Body/Chassis,Recall Related,High,Proactive Monitoring,Closed,Resolved,Completed,variant-b-000010,CH853486,V4RLD6FAZP2MC2GHZ
S-479,,,Safety Controller,2026-01-01 11:00:00,2026-01-01,Critical,Dealer,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,W-2002,Short Circuit,4187,South America,Germany,Sales,[TEST-VARIANT-B] There is electrical fault on the Clutch. Still open.Need help. :: synthetic drift scenario,5366,miles,P-4335,Autonomous Controller,Brazil,Quality,,Warranty Taskforce,Body/Chassis,Safety Concern,Medium,VIP Hotline,Open,New,Action Required,variant-b-000011,CH381915,97KFZCGXBXP6544BS
S-779,,,AI Sensor Rack,2026-01-01 12:00:00,2026-01-01,Critical,Fleet Operator,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,E-1002,Overheating,4190,North America,Brazil,Sales,[TEST-VARIANT-B] Customer reports high temp at the brake pads of the brake system. cehck asap. :: synthetic drift scenario,35535,km,P-2601,Hydrogen Drive Unit,China,Engineering,,Warranty Taskforce,Electrical,Recall Related,Critical,VIP Hotline,Open,New,Parts Ordered,variant-b-000012,CH330818,ETFVALK8B91Z6A0NC
S-987,,,Safety Controller,2026-01-01 13:00:00,2026-01-01,Low,Independent Owner,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,F-3001,Wear,2640,South America,China,Sales,"[TEST-VARIANT-B] Transmission System Gearbox has wor,n unclear if related to recent service. :: synthetic drift scenario",437073,km,P-4159,Hydrogen Drive Unit,USA,Operations,,Field Ops Rapid,Electrical,Technical Issue,High,VIP Hotline,Open,Assigned,Parts Ordered,variant-b-000013,CH193207,E8RSM40XER2YKKFBM
S-200,,,AI Sensor Rack,2026-01-01 14:00:00,2026-01-01,Medium,Fleet Operator,Sao Paulo,D-1004,Brazil,AmeCar Dealer,SP,F-3002,Short Circuit,6728,North America,China,Sales,[TEST-VARIANT-B] Customer reports short circuit at the hyrdaulic pump of the transmission system needs inspection :: synthetic drift scenario,87634,miles,P-3010,Autonomous Controller,Canada,Field Service,,Warranty Taskforce,Body/Chassis,Warranty Claim,Medium,Proactive Monitoring,Open,Awaiting Parts,Investigation,variant-b-000014,CH375046,GAPL4S30X076S4R0U
S-858,2026-04-10,2026-04-10 23:50:23+00:00,Safety Controller,2026-01-01 15:00:00,2026-01-01,High,Dealer,Munich,D-1002,Germany,EuroAuto Dealer,Bavaria,F-3002,Failure,7050,North America,Brazil,Engineering,[TEST-VARIANT-B] Found stopped working from Clutch. Possible sensor issue. :: synthetic drift scenario,58268,miles,P-3871,Hydrogen Drive Unit,Germany,Sales,835200.0,Escalation Lab,Suspension,Safety Concern,Medium,VIP Hotline,Closed,Closed,Investigation,variant-b-000015,CH764645,2AX70259EFTVSFUEZ
S-149,2026-04-16,2026-04-16 18:56:54+00:00,AI Sensor Rack,2026-01-01 16:00:00,2026-01-01,High,Service Partner,Munich,D-1002,Germany,EuroAuto Dealer,Bavaria,F-3001,Overheating,3137,South America,France,Engineering,[TEST-VARIANT-B] High temp affecting Clutch on Transmission System Driver report needs inspection :: synthetic drift scenario,64975,miles,P-3826,Autonomous Controller,China,Sales,1526400.0,Field Ops Rapid,Transmission,Maintenance Request,Critical,VIP Hotline,Closed,Resolved,Completed,variant-b-000016,CH752254,5BT6ET2CCJYTJJ9S6
S-861,,,Hydrogen Injector,2026-01-01 17:00:00,2026-01-01,Critical,Service Partner,San Jose,D-1001,USA,Northway Dealer,CA,F-3002,Leak,6268,Asia,Brazil,Quality,[TEST-VARIANT-B] Fuel Injector has been leak during operation. Please check. needs inspection. :: synthetic drift scenario,178827,km,P-1106,Hydrogen Drive Unit,China,Customer Support,,Field Ops Rapid,Suspension,Technical Issue,Critical,VIP Hotline,Open,Assigned,Waiting on Customer,variant-b-000017,CH674344,DHGPXYF08GGK9GYC0
S-831,,,AI Sensor Rack,2026-01-01 18:00:00,2026-01-01,Low,Dealer,Toronto,D-1005,Canada,CanService Dealer,ON,E-1001,Leak,1624,EU,Canada,Customer Support,[TEST-VARIANT-B] Hydraulic Line has been drip during operation Need review :: synthetic drift scenario,154880,km,P-7132,Autonomous Controller,Canada,Quality,,Field Ops Rapid,Transmission,Recall Related,Critical,Proactive Monitoring,Open,Assigned,Action Required,variant-b-000018,CH309381,ET6SZFVPF5C6UNU26
S-181,,,AI Sensor Rack,2026-01-01 19:00:00,2026-01-01,Low,Service Partner,San Jose,D-1001,USA,Northway Dealer,CA,F-3002,Wear,213,South America,China,Sales,[TEST-VARIANT-B] Degraded in Hydraulic Line of the Brake System Pls advise needs inspection :: synthetic drift scenario,243384,km,P-8342,Hydrogen Drive Unit,Canada,Operations,,Field Ops Rapid,Body/Chassis,Warranty Claim,Medium,VIP Hotline,Open,In Progress,Investigation,variant-b-000019,CH529764,FE0MPAVAC1UGGUMCZ
S-826,,,Hydrogen Injector,2026-01-01 20:00:00,2026-01-01,High,Service Partner,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,E-1002,Leak,3065,EU,Germany,Customer Support,[TEST-VARIANT-B] Clutch appears seepage No error light :: synthetic drift scenario,88161,km,P-6078,Hydrogen Drive Unit,Brazil,Sales,,Field Ops Rapid,Body/Chassis,Warranty Claim,High,VIP Hotline,Open,Escalated,Reopened,variant-b-000020,CH261528,30C9FNAPAD4TA22ZF
S-139,2026-03-06,2026-03-06 10:30:26+00:00,AI Sensor Rack,2026-01-01 21:00:00,2026-01-01,Low,Independent Owner,Toronto,D-1005,Canada,CanService Dealer,ON,F-3002,Failure,4395,Asia,France,Quality,[TEST-VARIANT-B] Electrical System Battery has failure; note the unusual behavior. :: synthetic drift scenario,127708,km,P-4032,Autonomous Controller,USA,Customer Support,730800.0,Warranty Taskforce,Body/Chassis,Technical Issue,Critical,Proactive Monitoring,Closed,Resolved,Investigation,variant-b-000021,CH367511,DVFE1K074B0ZM8V0A
S-724,,,Hydrogen Injector,2026-01-01 22:00:00,2026-01-01,Critical,Independent Owner,Munich,D-1002,Germany,EuroAuto Dealer,Bavaria,W-2001,Noise,3057,South America,Canada,Sales,[TEST-VARIANT-B] Unusual sound affecting Clutch on Transmission System Tech notes occurs on cold start :: synthetic drift scenario,427062,km,P-2973,Hydrogen Drive Unit,France,Field Service,,Warranty Taskforce,Electrical,Warranty Claim,Critical,Proactive Monitoring,Open,In Progress,Action Required,variant-b-000022,CH539814,HEP3SGBRJKK67RJUE
S-801,2026-03-30,2026-03-30 02:31:14+00:00,AI Sensor Rack,2026-01-01 23:00:00,2026-01-01,Medium,Service Partner,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,W-2002,Overheating,6710,EU,Canada,Sales,[TEST-VARIANT-B] Overheating in Turbocharger of the Engine Control Module. Pls advise. :: synthetic drift scenario,257670,km,P-4892,Hydrogen Drive Unit,China,Quality,579600.0,Field Ops Rapid,Transmission,Technical Issue,Medium,VIP Hotline,Closed,Resolved,Parts Ordered,variant-b-000023,CH537124,553EYL6UG816ZZCA1
S-342,,,Safety Controller,2026-01-02 00:00:00,2026-01-02,Low,Independent Owner,San Jose,D-1001,USA,Northway Dealer,CA,W-2001,Overheating,7153,EU,France,Sales,[TEST-VARIANT-B] Review Brake System ABS Sensor: possible rnuning hot and reduced performance. occurs on cold start. :: synthetic drift scenario,166457,km,P-2643,Hydrogen Drive Unit,USA,Customer Support,,Warranty Taskforce,Transmission,Technical Issue,High,VIP Hotline,Open,Escalated,Investigation,variant-b-000024,CH494087,HJXY00KP4R2SU1AGK
S-235,2026-02-16,2026-02-16 17:30:07+00:00,Safety Controller,2026-01-02 01:00:00,2026-01-02,High,Dealer,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,E-1002,Failure,2537,Asia,Canada,Sales,"[TEST-VARIANT-B] Urgent: not responding observed in ABS Sensor, maybe the brake system. fault appears after long run. :: synthetic drift scenario",95464,km,P-8846,Autonomous Controller,France,Engineering,514800.0,Field Ops Rapid,Suspension,Maintenance Request,Critical,Proactive Monitoring,Closed,Closed,Action Required,variant-b-000025,CH759797,9SYDEP0CCPLDSL93R
S-149,,,Hydrogen Injector,2026-01-02 02:00:00,2026-01-02,High,Fleet Operator,San Jose,D-1001,USA,Northway Dealer,CA,E-1003,Short Circuit,1613,EU,Germany,Customer Support,[TEST-VARIANT-B] Electrical fault in Hydraulic Pump of the Transmission System. Need fix asap. driver says it started after service. :: synthetic drift scenario,490801,miles,P-5736,Autonomous Controller,China,Field Service,,Warranty Taskforce,Suspension,Recall Related,High,VIP Hotline,Open,Escalated,Action Required,variant-b-000026,CH571254,STP8045KH35T1X11R
S-974,2026-01-28,2026-01-28 17:17:49+00:00,Safety Controller,2026-01-02 03:00:00,2026-01-02,Critical,Dealer,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,E-1003,Wear,3922,North America,China,Engineering,[TEST-VARIANT-B] Customer reports wear out at the fuel injector of the engine control module. asap :: synthetic drift scenario,289953,km,P-1091,Autonomous Controller,USA,Quality,2358000.0,Warranty Taskforce,Brakes,Safety Concern,Medium,VIP Hotline,Closed,Resolved,Action Required,variant-b-000027,CH572818,K1Z00Z0XTXK7K1RW1
S-929,2025-08-23,2025-08-23 06:24:30+00:00,Safety Controller,2026-01-02 04:00:00,2026-01-02,Low,Dealer,Munich,D-1002,Germany,EuroAuto Dealer,Bavaria,E-1001,Failure,6138,EU,Germany,Customer Support,[TEST-VARIANT-B] Sensors has been fault during opeartion Please check :: synthetic drift scenario,287650,km,P-3329,Autonomous Controller,Canada,Engineering,460800.0,Warranty Taskforce,Body/Chassis,Safety Concern,Critical,Proactive Monitoring,Closed,Closed,Parts Ordered,variant-b-000028,CH493687,FNYZ0SE7HBDB6ZLH1
S-479,2026-02-09,2026-02-09 13:31:39+00:00,Safety Controller,2026-01-02 05:00:00,2026-01-02,Low,Service Partner,Toronto,D-1005,Canada,CanService Dealer,ON,E-1003,Overheating,4801,EU,Germany,Sales,[TEST-VARIANT-B] Rveiew Engine Control Module Fuel Injector: possible overheating and reduced performance. :: synthetic drift scenario,182707,miles,P-3023,Hydrogen Drive Unit,France,Operations,1436400.0,Warranty Taskforce,Engine,Warranty Claim,High,Proactive Monitoring,Closed,Closed,Reopened,variant-b-000029,CH644975,YU2BGUHG470Z258G0
S-252,,,Hydrogen Injector,2026-01-02 06:00:00,2026-01-02,High,Independent Owner,Toronto,D-1005,Canada,CanService Dealer,ON,W-2003,Wear,3931,Asia,USA,Engineering,"[TEST-VARIANT-B] Engine Control Module Turbocharger has wear out, unclear if related to recent service happens during idling :: synthetic drift scenario",266025,miles,P-8834,Hydrogen Drive Unit,USA,Operations,,Escalation Lab,Suspension,Maintenance Request,Medium,Proactive Monitoring,Open,Awaiting Parts,Waiting on Customer,variant-b-000030,CH955297,7BCGCTS1UG83SLD6D
S-120,,,AI Sensor Rack,2026-01-02 07:00:00,2026-01-02,High,Independent Owner,Toronto,D-1005,Canada,CanService Dealer,ON,E-1005,Overheating,94,South America,China,Operations,[TEST-VARIANT-B] Review Electrical System Wiring Harness: possible high temp and reduced performance. :: synthetic drift scenario,32374,miles,P-7270,Autonomous Controller,Brazil,Quality,,Field Ops Rapid,Brakes,Recall Related,Critical,Proactive Monitoring,Open,New,Parts Ordered,variant-b-000031,CH964292,8J6V6XDUL8RF29U1M
S-949,,,Safety Controller,2026-01-02 08:00:00,2026-01-02,Low,Service Partner,Toronto,D-1005,Canada,CanService Dealer,ON,W-2002,Short Circuit,5733,EU,France,Customer Support,[TEST-VARIANT-B] Power surge in Hydraulic Line of the Brake System. Pls advise. :: synthetic drift scenario,474182,miles,P-8289,Autonomous Controller,Germany,Quality,,Escalation Lab,Suspension,Warranty Claim,Medium,Proactive Monitoring,Open,Escalated,Action Required,variant-b-000032,CH292851,6YEMPR2S9KG77C30G
S-229,2026-01-10,2026-01-10 02:52:28+00:00,Safety Controller,2026-01-02 09:00:00,2026-01-02,High,Service Partner,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,F-3002,Short Circuit,6145,North America,Brazil,Quality,"[TEST-VARIANT-B] Urgent: short circuit observed in Turbocharger, maybe the engine control module. fault appears after long run. :: synthetic drift scenario",57338,miles,P-6704,Hydrogen Drive Unit,Canada,Field Service,957600.0,Warranty Taskforce,Brakes,Warranty Claim,Medium,Proactive Monitoring,Closed,Closed,Action Required,variant-b-000033,CH850960,9GCR2Z7P6AESHGMYW
S-657,2025-12-05,2025-12-05 11:19:48+00:00,AI Sensor Rack,2026-01-02 10:00:00,2026-01-02,High,Dealer,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,W-2002,Noise,4737,Asia,USA,Engineering,[TEST-VARIANT-B] Found noise from Battery. No clear root cause. :: synthetic drift scenario,43650,km,P-6196,Hydrogen Drive Unit,Germany,Sales,1371600.0,Escalation Lab,Body/Chassis,Safety Concern,Critical,Proactive Monitoring,Closed,Resolved,Action Required,variant-b-000034,CH705283,Y1C5U41P6UVKLTYXH
S-220,,,AI Sensor Rack,2026-01-02 11:00:00,2026-01-02,High,Dealer,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,E-1003,Short Circuit,6600,North America,USA,Field Service,"[TEST-VARIANT-B] Urgetn: spark observed in Hydraulic Pump, maybe the transmission system. happens intermittently. :: synthetic drift scenario",326863,miles,P-9434,Autonomous Controller,USA,Operations,,Field Ops Rapid,Brakes,Technical Issue,High,Proactive Monitoring,Open,Assigned,Parts Ordered,variant-b-000035,CH708367,U79LPUUE3BJZJG2EM
S-486,,,Hydrogen Injector,2026-01-02 12:00:00,2026-01-02,High,Dealer,Sao Paulo,D-1004,Brazil,AmeCar Dealer,SP,E-1003,Noise,6934,North America,Germany,Customer Support,"[TEST-VARIANT-B] Transmission System Hydraulic Pump has unusual sound, unclear if related to recent service. repro after warm-up. :: synthetic drift scenario",285397,miles,P-6050,Autonomous Controller,USA,Operations,,Field Ops Rapid,Brakes,Warranty Claim,High,VIP Hotline,Open,Awaiting Parts,Action Required,variant-b-000036,CH890107,PMAUHHWGH0UAMEYKT
S-938,2025-07-17,2025-07-17 23:37:38+00:00,AI Sensor Rack,2026-01-02 13:00:00,2026-01-02,Critical,Service Partner,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,E-1004,Leak,426,South America,Germany,Field Service,[TEST-VARIANT-B] Turbocharger seems to have drip; driver says it started after startup. fault appears after long run. :: synthetic drift scenario,359106,miles,P-5784,Hydrogen Drive Unit,Germany,Operations,1429200.0,Warranty Taskforce,Transmission,Safety Concern,Critical,Proactive Monitoring,Closed,Closed,Completed,variant-b-000037,CH230416,Y5GT0YG6PLLZSG1SR
S-725,2026-04-02,2026-04-02 06:07:05+00:00,Safety Controller,2026-01-02 14:00:00,2026-01-02,High,Dealer,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,F-3002,Noise,5767,South America,France,Operations,"[TEST-VARIANT-B] Urgent: knocking observed in Brake Pads, maybe the brake system needs inspection :: synthetic drift scenario",401651,miles,P-6417,Hydrogen Drive Unit,China,Quality,57600.0,Escalation Lab,Transmission,Performance Issue,Medium,Proactive Monitoring,Closed,Closed,Reopened,variant-b-000038,CH283079,1PSXAK9D87YDLHJA6
S-112,2025-12-28,2025-12-28 23:38:35+00:00,Hydrogen Injector,2026-01-02 15:00:00,2026-01-02,High,Dealer,Sao Paulo,D-1004,Brazil,AmeCar Dealer,SP,W-2001,Overheating,222,EU,Canada,Engineering,[TEST-VARIANT-B] There is overheating on the Clutch. Neesd parts. repro after warm-up. :: synthetic drift scenario,25063,km,P-3315,Hydrogen Drive Unit,Canada,Field Service,903600.0,Escalation Lab,Transmission,Maintenance Request,Medium,Proactive Monitoring,Closed,Resolved,Investigation,variant-b-000039,CH414248,FMFR5Y53N7TNSMGN6
S-713,,,Hydrogen Injector,2026-01-02 16:00:00,2026-01-02,Critical,Service Partner,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,E-1001,Wear,3711,EU,Brazil,Engineering,[TEST-VARIANT-B] Brake System Brake Pads has degraded; note the unusual behavior. customer says it is getting worse. :: synthetic drift scenario,270326,miles,P-9997,Autonomous Controller,France,Engineering,,Escalation Lab,Brakes,Warranty Claim,Critical,VIP Hotline,Open,In Progress,Investigation,variant-b-000040,CH201712,1EUY2CBBTKULSH1XP
S-165,,,AI Sensor Rack,2026-01-02 17:00:00,2026-01-02,Medium,Dealer,Munich,D-1002,Germany,EuroAuto Dealer,Bavaria,E-1003,Wear,3375,EU,China,Customer Support,[TEST-VARIANT-B] Found abrasion from Fuel Injector Looks like wear :: synthetic drift scenario,495244,miles,P-6382,Hydrogen Drive Unit,Brazil,Field Service,,Field Ops Rapid,Engine,Recall Related,Medium,VIP Hotline,Open,New,Reopened,variant-b-000041,CH674484,LCN6E4GBYRWY2MWYX
S-352,2025-08-19,2025-08-19 20:23:11+00:00,Safety Controller,2026-01-02 18:00:00,2026-01-02,High,Fleet Operator,Toronto,D-1005,Canada,CanService Dealer,ON,E-1003,Wear,1753,EU,USA,Quality,[TEST-VARIANT-B] Degraded in Wiring Harness of the Electrical System. Need fix asap. :: synthetic drift scenario,291143,km,P-3276,Autonomous Controller,USA,Field Service,529200.0,Field Ops Rapid,Engine,Technical Issue,Critical,VIP Hotline,Closed,Resolved,Parts Ordered,variant-b-000042,CH728786,A7HB6FHEUNW5JJ4XM
S-874,,,AI Sensor Rack,2026-01-02 19:00:00,2026-01-02,Critical,Service Partner,Munich,D-1002,Germany,EuroAuto Dealer,Bavaria,E-1002,Noise,5353,North America,Canada,Customer Support,"[TEST-VARIANT-B] Urgent: noise observed in Turbocharger, maybe the engine control module. :: synthetic drift scenario",240197,km,P-1825,Autonomous Controller,China,Sales,,Escalation Lab,Transmission,Technical Issue,Critical,Proactive Monitoring,Open,Awaiting Parts,Waiting on Customer,variant-b-000043,CH653697,F01DWTHX0BXY1M7A0
S-176,,,Safety Controller,2026-01-02 20:00:00,2026-01-02,Critical,Independent Owner,Sao Paulo,D-1004,Brazil,AmeCar Dealer,SP,F-3001,Failure,1236,Asia,USA,Sales,[TEST-VARIANT-B] ABS Sensor has been stopped working during operation. Urgent review. happens during idling. :: synthetic drift scenario,129458,miles,P-3679,Autonomous Controller,France,Operations,,Field Ops Rapid,Suspension,Safety Concern,Medium,VIP Hotline,Open,Assigned,Completed,variant-b-000044,CH166744,530PATMGNUKVD2NMA
S-708,,,AI Sensor Rack,2026-01-02 21:00:00,2026-01-02,Medium,Dealer,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,E-1005,Wear,7023,North America,Germany,Engineering,[TEST-VARIANT-B] Turbocharger appears wear. Intermittent fault. repro after warm-up. pls :: synthetic drift scenario,302045,miles,P-3304,Hydrogen Drive Unit,France,Field Service,,Field Ops Rapid,Electrical,Performance Issue,Critical,Proactive Monitoring,Open,Escalated,Reopened,variant-b-000045,CH545238,G59XTCPLR1ADZWRD5
S-403,,,AI Sensor Rack,2026-01-02 22:00:00,2026-01-02,High,Dealer,Toronto,D-1005,Canada,CanService Dealer,ON,E-1001,Failure,1949,North America,Canada,Sales,[TEST-VARIANT-B] Found not responding from Clutch. No clear root cause. repro after warm-up. :: synthetic drift scenario,96396,miles,P-8593,Hydrogen Drive Unit,Canada,Engineering,,Escalation Lab,Brakes,Performance Issue,High,Proactive Monitoring,Open,Assigned,Completed,variant-b-000046,CH225983,ELM7CWW19JRNJ6HSG
S-704,,,Safety Controller,2026-01-02 23:00:00,2026-01-02,Medium,Independent Owner,Sao Paulo,D-1004,Brazil,AmeCar Dealer,SP,E-1001,Failure,6568,South America,Germany,Operations,"[TEST-VARIANT-B] Urgent: not responding observed in Wiring Harness, maybe the electrical system :: synthetic drift scenario",47162,km,P-1069,Hydrogen Drive Unit,Germany,Operations,,Field Ops Rapid,Body/Chassis,Recall Related,High,Proactive Monitoring,Open,Awaiting Parts,Action Required,variant-b-000047,CH358477,BNPM5VFN9EJ5TSZFW
S-494,,,Safety Controller,2026-01-03 00:00:00,2026-01-03,Critical,Independent Owner,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,E-1001,Failure,5284,Asia,France,Sales,[TEST-VARIANT-B] Found stopped working from Turbocharger. No clear root cause. :: synthetic drift scenario,460083,km,P-9649,Autonomous Controller,Brazil,Operations,,Escalation Lab,Body/Chassis,Technical Issue,Medium,Proactive Monitoring,Open,New,Reopened,variant-b-000048,CH919441,SU6MEP3LY39S0D5XZ
S-284,,,AI Sensor Rack,2026-01-03 01:00:00,2026-01-03,High,Independent Owner,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,F-3002,Leak,1125,EU,France,Sales,"[TEST-VARIANT-B] Brake System Brake Pads has leak, unclear if related to recent service. :: synthetic drift scenario",230728,km,P-1953,Autonomous Controller,Germany,Engineering,,Escalation Lab,Electrical,Safety Concern,High,VIP Hotline,Open,Escalated,Investigation,variant-b-000049,CH286079,5G6G6KS3SNTWRPFEN
S-856,,,Hydrogen Injector,2026-01-03 02:00:00,2026-01-03,Medium,Fleet Operator,Sao Paulo,D-1004,Brazil,AmeCar Dealer,SP,E-1001,Wear,3612,North America,Brazil,Customer Support,[TEST-VARIANT-B] Gearbox has been abrasion during operation. Please check. :: synthetic drift scenario,407662,km,P-3827,Hydrogen Drive Unit,Canada,Operations,,Warranty Taskforce,Electrical,Performance Issue,Medium,Proactive Monitoring,Open,Escalated,Investigation,variant-b-000050,CH324872,N2KS8BAKAC7UJL43V
